Timestamp | Track ID | Vehicle Type | Vehicle Color | Vehicle Company
--------------------------------------------------------------------------------
2025-03-08_10-17-50 | Track ID: 1 | Vehicle Type(Name of Vehicle) | Vehicle Color | Vehicle Company
2025-03-08_10-17-50 | Track ID: 1 | Car | Gray | Mercedes-Benz
2025-03-08_10-17-53 | Track ID: 3 | Vehicle Type(Name of Vehicle) | Vehicle Color | Vehicle Company
2025-03-08_10-17-53 | Track ID: 3 | Car (Smart) | Black | Smart
2025-03-08_10-17-56 | Track ID: 9 | Vehicle Type(Name of Vehicle) | Vehicle Color | Vehicle Company
2025-03-08_10-17-56 | Track ID: 9 | Car | Red | Renault
2025-03-08_10-19-25 | Track ID: 1 | Vehicle Type(Name of Vehicle) | Vehicle Color | Vehicle Company
2025-03-08_10-19-25 | Track ID: 1 | Hatchback | White | Hyundai
2025-03-08_10-19-25 | Track ID: 15 | Vehicle Type(Name of Vehicle) | Vehicle Color | Vehicle Company
2025-03-08_10-19-25 | Track ID: 15 | Auto Rickshaw | White and Blue | Bajaj
2025-03-08_10-19-27 | Track ID: 126 | Vehicle Type(Name of Vehicle) | Vehicle Color | Vehicle Company
2025-03-08_10-19-27 | Track ID: 126 | Jeepney | Blue | Unknown
2025-03-08_10-19-27 | Track ID: 117 | Vehicle Type(Name of Vehicle) | Vehicle Color | Vehicle Company
2025-03-08_10-19-27 | Track ID: 117 | Truck | Brown | Eicher
2025-03-08_10-19-27 | Track ID: 14 | Vehicle Type(Name of Vehicle) | Vehicle Color | Vehicle Company
2025-03-08_10-19-27 | Track ID: 14 | Truck | Brown | Eicher
2025-03-08_10-19-28 | Track ID: 5 | Vehicle Type(Name of Vehicle) | Vehicle Color | Vehicle Company
2025-03-08_10-19-28 | Track ID: 5 | Car | White | Maruti
2025-03-08_10-19-28 | Track ID: 97 | Vehicle Type(Name of Vehicle) | Vehicle Color | Vehicle Company
2025-03-08_10-19-28 | Track ID: 97 | SUV (Magnite) | Black | Nissan
2025-03-08_10-19-30 | Track ID: 11 | Vehicle Type(Name of Vehicle) | Vehicle Color | Vehicle Company
2025-03-08_10-19-30 | Track ID: 11 | Car | White | Mahindra
2025-03-08_10-19-30 | Track ID: 265 | Vehicle Type(Name of Vehicle) | Vehicle Color | Vehicle Company
2025-03-08_10-19-30 | Track ID: 265 | MUV | White | Mahindra
2025-03-08_10-19-31 | Track ID: 356 | Vehicle Type(Name of Vehicle) | Vehicle Color | Vehicle Company
2025-03-08_10-19-31 | Track ID: 356 | Car | White | Mahindra
2025-03-08_10-19-25 | Track ID: 6 | Vehicle Type(Name of Vehicle) | Vehicle Color | Vehicle Company
2025-03-08_10-19-25 | Track ID: 6 | Tricycle | Blue and White | Unknown
2025-03-08_10-19-34 | Track ID: 17 | Vehicle Type(Name of Vehicle) | Vehicle Color | Vehicle Company
2025-03-08_10-19-34 | Track ID: 17 | Wagon R | White | Suzuki
2025-03-08_10-19-35 | Track ID: 470 | Vehicle Type(Name of Vehicle) | Vehicle Color | Vehicle Company
2025-03-08_10-19-35 | Track ID: 470 | Hatchback | Red | Tata
2025-03-08_10-19-35 | Track ID: 86 | Vehicle Type(Name of Vehicle) | Vehicle Color | Vehicle Company
